0,sentences
00:13:01 - 00:13:24 (23 sec),"I don't know. Somehow I don't think I would have been a very good politician on the other side of this equation. But a man who really has been helping me a lot, he's a tremendous force in Washington, he's respected by everybody, Congressman Tom Emmer. Minnesota House Speaker Kurt Daudt. Thanks, Kurt. Your state's next attorney general, Doug Wardlow."
00:13:24 - 00:13:57 (32 sec),"Your next governor -- I hear he's doing very well -- Jeff Johnson. We're also joined by the next United States senator from Minnesota, Karin Housley. Karin. So, Karin is running against a far-left Democrat, Tina Smith, who nobody knows who the hell she is. Who is she? She was appointed. She took a wacky guy's place."
00:13:57 - 00:14:34 (38 sec),"That guy was -- he was wacky. Boy, did he fold up like a wet rag, huh? Man. Man, he was gone so fast. He was gone so fast. I don't want to mention Al Franken's name. OK? So I won't mention it. He was gone -- he was gone so fast. It was like, ""Oh, he did something, oh, oh, oh, I resign. I quit, I quit."" Wow. He was gone and he was replaced by somebody that nobody ever heard of. Her name is Tina Smith."
00:14:34 - 00:14:58 (23 sec),"Honestly, you know, I do this stuff for a living. I'm not sure I have ever heard of her [Inaudible]. The fact is, there's no reason for me to have heard of her, because she's never going to vote for us. She'll always vote for Schumer and Pelosi...and, of course, the legendary low-IQ Maxine Waters. Low-IQ person."
00:14:58 - 00:15:25 (27 sec),"She'll be with Schumer, do whatever he wants. ""What would you like me to do? Should I vote for higher taxes?"" ""Yes."" ""Oh, I want higher taxes. Should I vote against the wall?"" Which is happening, folks. She wants to vote against the wall. She voted against the wall. [Audience Chants Build that Wall] So we are building the wall."
00:15:25 - 00:15:52 (28 sec),"We started it. $1.6 billion. Now we got another $1.6 billion and we just got another. But I want to build it at one time, fast. But we're making a lot of progress on the wall. A lot of progress. I'd like to do it a lot faster. I'm good at building. And Tina voted for deadly sanctuary cities. Karin... Karin, do you promise you will not be voting for sanctuary cities, Karin?"
00:15:52 - 00:16:17 (24 sec),"OK. Good. She wants to keep crime out of Minnesota. That sounds like a good platform, right? Tina Smith would rather protect violent criminal aliens than loyal American citizens, which is why Tina Smith, that nobody ever heard of, needs to be voted out of office. She got appointed, I guess. And Tina Smith is voting against Judge Kavanaugh."
00:16:17 - 00:16:37 (20 sec),"Can you believe that one? So, he was number one at Yale, number one at Yale Law School. I think she's looking for a better student. [Laughter] Finally, I want to introduce two incredible -- by the way, Karin, come up, please, will you?"
00:16:37 - 00:17:12 (36 sec),"You really do go off script, don't you? Jeez. Thank you so much for telling everybody. And he said ""Tina Smith"" way too many times. We need to say ""Karin Housley"" a lot more. Thank you."
00:17:12 - 00:17:50 (38 sec),"Vote for her. Vote for Karin. Now for the people that we're here for. Congress is very important, and I'm here to support Congressman Jason Lewis, who you know. He's a friend of mine, who has worked so hard for us and so hard on your Second Amendment, which is under siege, and so hard on cutting your taxes and regulations."
00:17:50 - 00:18:01 (10 sec),"So, Jason, thank you. Come on up, Jason. And the next representative from Minnesota's 1st District, Jim Hagedorn. Come on up, fellas."
00:18:01 - 00:18:45 (44 sec),"Welcome to Minnesota, Mr. President. Now -- now, everybody in this room knows Minnesota loves President Trump. But I will tell you, in 2020, when he comes back here and takes this state, the whole world's going to know Minnesota loves President Trump. And you know what else Minnesota loves, Mr. President?"
00:18:45 - 00:19:18 (33 sec),"They love tax cuts that let you keep more of your money. Now, in the final analysis, that's really it, isn't it? I mean, growth is great, 4.5 percent growth, more job openings than job-seekers, after-tax income up 6 percent in one year. But in the final analysis, whose money is it? It's yours. You ought to have it. Minnesota loves manufacturing, mining and energy production in the 2nd District."
00:19:18 - 00:19:57 (40 sec),"Minnesota loves our farmers now, thanks to the president, who have free trade and fair trade. Right here in Rochester, Minnesota is very proud and loves health care; the kind of plan that you choose, not the plan that government bureaucrats choose for you. And that's why we repealed the Obamacare mandate and the president signed it into law."
00:19:57 - 00:20:41 (44 sec),"And -- and one more thing, Mr. President. Minnesota loves your judicial appointments. That's right. Minnesota loves your appointments to the lower courts, they love your appointments to the appellate courts, and Minnesota loves your appointments to the Supreme Court, including Judge Brett Kavanaugh. My friends, my friends, that's what's at stake in this election: due process, the presumption of innocence, the rule of law, private property, in other words, the Constitution of the United States."
00:20:41 - 00:21:08 (27 sec),"And if Nancy Pelosi becomes speaker of the House, you can throw that all aside. But you know what? The radical resisters have to come through Minnesota first. And this is where it stops. I'm not going to let it happen, Jim Hagedorn isn't going to let it happen, and President Donald J. Trump is not going to let it happen."
00:21:08 - 00:21:09 (1 sec),Thank you all. On to November and let's win there.
00:21:09 - 00:22:23 (74 sec),"Thank you. Wow. Does Rochester, Minnesota, and southern Minnesota love this president? Absolutely. Boy, think back... Think back where we were just two years ago. Our nation's future was on the line. Had we not won that election, we would have lost the country the way the forefathers put it together. And by the grace of God, and we are grateful and proud, Mr. President, that [Inaudible], and thank you for what you're doing for our country."
00:22:23 - 00:23:16 (53 sec),We are. I just want to give the president a quick update on the Democrat Party here in Minnesota. They've moved far to the left like the rest of the Democrats across the country. We actually have a guy running for governor who wants to make Minnesota a sanctuary state. We have -- we have two people running for the United States Senate on the Democrat Party.
00:23:16 - 00:23:46 (31 sec),"They love late-term abortion and they believe in gun control. And we have all these congressional candidates, including the guy I'm running against, who think that we should have socialized medicine, single-payer. Does that make sense for the Mayo Clinic, Rochester? No, no. They want to resist. They want to replace."
00:23:46 - 00:24:12 (26 sec),"They want to take us back to Obama and then some. Are we going to let that happen? Heck no. No. Not going to let that happen. [Audience Responds No] Mr. President, we're going to work tirelessly. And because of your support and leadership and your endorsement, I want to go out to Washington and serve as a conservative reinforcement to partner with you to keep moving America in the right direction."
00:24:12 - 00:24:14 (1 sec),"Thank you, Mr. President."
00:24:14 - 00:24:44 (30 sec),"Wow. Wow. Good talent. So, Jason and Jim are both running against extreme Democrats. Jim's opponent, Dan Feehan... supports a total government takeover of health care, which drives your costs right through the roof and the health care is lousy, by the way. Oh, is that so? And he wants to make Minnesota into -- true -- a sanctuary for the criminal aliens and for gang members."
00:24:44 - 00:25:16 (32 sec),"That's the people -- they will come flooding up here as soon as you do it. It happens every time. Jason's opponent, Angie Craig... Who the hell is Angie Craig? -- also wants to take away your health care. And she refuses to support Enbridge Pipeline. You know all about that. That would bring more than 8,000 jobs to Minnesota."
00:25:16 - 00:25:43 (28 sec),"And you know we've really opened up Minnesota. You see what's going on with the mines and the miners and the ore. Worst of all, a vote for Dan Feehan and Angie Craig is a vote for Nancy Pelosi as speaker of the House. Can you imagine Nancy Pelosi as speaker of the House? Don't do that to me. I didn't buy into that."
00:25:43 - 00:26:30 (47 sec),"Neither did you. If Democrats take charge, Maxine Waters will also... Now, listen to this one. She's going to take over Financial Services in Congress. Can you believe it? Maxine Waters. That's one of the most powerful committees in Congress. If you want to stop Pelosi from becoming speaker, if you want to stop Chuck Schumer from becoming majority leader... and if you want to stop the radical Democrats from running Congress, then you need to vote Republican."
00:26:30 - 00:26:58 (28 sec),You have to get out there on November 6th and vote Republican. You've got to get it -- and vote for these people. These are great people. A Democrat-controlled Congress would also pose a grave threat to Medicare. You know what they're doing with Medicare? They'll destroy it. The majority of House Democrats have cosponsored a socialist takeover of health care that would obliterate Medicare.
00:26:58 - 00:27:18 (20 sec),"Their plan is called Medicare for All, except they have no money. But it's really Medicare for none. Their plan would rob American seniors of the benefits they have paid -- and they've paid these benefits and they've paid so much money for their entire lives and you take it away. [Audience Member shouts] Thank you, darling."
00:27:18 - 00:27:59 (41 sec),"Love these people. These people are so great. Republicans want to protect Medicare for our great seniors, who have earned it and they've paid for it. And we will always protect Americans with pre-existing conditions. We're going to take care of them. Some of the Democrats have been talking about ending pre-existing conditions and some people have -- you know what I say?"
00:27:59 - 00:28:30 (31 sec),"We'll get a little more money from China. It'll be just fine. OK? It'll be just fine. We'll be just fine. We're going to take care of pre-existing conditions, folks. Remember that. The lead sponsor of the Democrats -- think of this. The health care takeover, who is the lead sponsor? I've been reading so much about him."
00:28:30 - 00:28:51 (21 sec),"He did predict I was going to win, by the way. I will say that. That's the only thing he's gotten right in a long time. Keith Ellison. Did you know that? No, he did. That's right. He was on a show the day after I announced. On June 16th, I came down the stair with Melania -- who's right now in Africa, our first lady."
00:28:51 - 00:29:11 (20 sec),"She's doing a great job. Doing a great job for the people of Africa. Amazing. But Ellison was on a show the day after I announced and he looked at two people, the hosts, he said, ""You know he's going to win, don't you?"" And they smiled. One laughed. They spoke. They thought I was just doing this for fun."
00:29:11 - 00:29:41 (30 sec),"You think this is fun? You think this... This is a lot of work. It's a lot more work than anybody knew. And that's the last time he's been right, but I'm glad he was right about that. Ellison is the number two official in the entire Democrat Party and he recently marched in a parade wearing a shirt that read, ""I do not believe in borders."" Oh, that's wonderful."
00:29:41 - 00:30:20 (39 sec),"By the way, you don't have borders, you don't have a country, folks. You don't have a country. Keith Ellison's Democrat Party embraces radical socialism and open borders. The new platform of the Democrat Party is to abolish ICE. They want to unleash violent predators and ruthless killers -- and you know it. Somebody would say, ""Oh, gee, why is he saying that?"
00:30:20 - 00:30:46 (25 sec),"That's not"" -- it's true. Like MS-13, near our schools, near our families and into our communities. No good. Republicans believe America should be a sanctuary for law-abiding Americans, not criminal aliens. And Republicans proudly stand with the brave men and women of ICE, Border Patrol and law enforcement, our police."
00:30:46 - 00:31:18 (33 sec),"Great people. They do an incredible job. My administration has also reformed our refugee program to protect American communities like you have in Minnesota, where you're being treated very unfairly, and to protect your families and your taxpayer dollars. If you want security, if you want a border, then what you have to do is immediately go out, think about it, get your friends, get your neighbors, get your workers."
00:31:18 - 00:31:39 (21 sec),"You've got to go November 6th, vote Republican. That'll do it. That'll do it. We need the votes. You know, I keep hearing we have a majority. If somebody has a cold, we don't have a majority. If somebody's not feeling great, we don't have a majority. It's like -- it's like the saying -- that's why we're getting the wall by hook, by crook, we're getting the wall, but it's so difficult."
00:31:39 - 00:32:07 (28 sec),"These guys want to stop it. They want to say -- you know, it's interesting. We've got $700 billion for the military, which is, you know, many, many, many times -- we've got $716 billion for the military. We are rebuilding our military. But to get money for the wall, their whole life is trying to obstruct the wall because they know we want it. But you know what?"
00:32:07 - 00:32:34 (27 sec),"It's not working. I'd like to do it a lot faster, but it's not working. We're getting the money. You think it's easy? Not easy. But we're getting it built and it's already going up in San Diego and lots of other places along the border. [Audience Chants Build that Wall] This election is about safety and it's about prosperity."
00:32:34 - 00:33:02 (27 sec),"Since the election, we have created over 4 million new jobs. The media will tell you there was no way we could have said that during the campaign. Nobody would have believed it. And we've lifted 4 million Americans off of food stamps. Think of that. You know, when you do that, you save a lot of money and you also make a lot of people really happy."
00:33:02 - 00:33:23 (22 sec),"When you think about it, right? We've added nearly a half a million new manufacturing jobs. Remember, ""You need a magic wand. You'll never do that."" I said, ""What happens? We don't build anything anymore?"" And we have companies pouring into our country and they're coming to Minnesota. They're coming to a lot of states."
00:33:23 - 00:33:51 (28 sec),"But we have companies. They're all coming back. They want to be where the action is. They're all coming back. They're all coming back. The auto companies. I was with Prime Minister Abe two days ago. He said, ""Many of our auto companies are coming back."" I said, ""No, no, that's not good enough. All of them have to come back."
00:33:51 - 00:34:17 (26 sec),"All."" And he's going to do that. They're all coming back. They've already started. You look at Michigan, what's going on in Michigan, where they're coming back so fast -- but they're coming back to Ohio. They're coming back to Pennsylvania, South Carolina, North Carolina. And they're coming in to a place called Minnesota."
00:34:17 - 00:34:46 (29 sec),"Do we love Minnesota? 1972. You know what that is, right? That was the last time -- and boy, we came, like, this close. One more speech up here and I would have won this state. I came -- do you remember? I said, ""I think I'm going to win Minnesota,"" and everyone said, ""No, no, it hasn't been won since 1972."" Is that right? 19 -- right?"
00:34:46 - 00:35:20 (34 sec),"The Congress [Inaudible], right? Yeah. 1972. It hasn't been won. I said, ""No, look at the crowds. They love it. We're going to take care of Minnesota. We're going to stop what's happening that's so unfair in Minnesota."" And then on election night, I said, ""Let's go to Minnesota,"" but they already scheduled for a great place, a great state, Michigan."
00:35:20 - 00:35:40 (19 sec),"That's another one hadn't been won in many, many years. I went to Michigan. We had 32,000 people in Michigan at 1 o'clock in the morning. It was already Election Day. So I had to skip Minnesota. I felt so badly because one more speech -- I could have showed up at 3 o'clock in the morning maybe. I don't know."
00:35:40 - 00:36:08 (28 sec),"But we're going to win. We're going to win Minnesota. And you see that just by this crowd. Look at this crowd. This place is... So something I'm very proud of, African-American unemployment has reached its lowest rate ever recorded. African-American poverty has reached its lowest rate ever recorded. Think of those two sound bites."
00:36:08 - 00:36:39 (31 sec),"The lowest unemployment, the lowest rate of poverty. So think of this: How does your African-American, how do you vote for somebody else? I've done more for them in two years. African-Americans are coming up and they're saying, ""Mr. President, thank you. Thank you."" And their median income is the highest."
00:36:39 - 00:36:56 (17 sec),"But not only for African-Americans, for Asian, for Hispanic. Hispanic unemployment is the lowest it's ever been. Think of it. Asian unemployment, the lowest it's ever been. People with no high school diploma -- that's a very important group of people to me -- it is by far the lowest it's ever been. Women I'm failing with."
00:36:56 - 00:37:19 (22 sec),"I am failing with women. It's only the lowest in 65 years. Sorry. Sorry. I thought it would be history by now, because I've been saying African-American, I've been saying Hispanic, I've been saying Asian, I've been -- and women, it's only the lowest in 65 years. But I thought by now, it would be OK. [Audience member calls out] Got a lot of energy, this one over here."
00:37:19 - 00:38:03 (45 sec),"She's got a lot of energy. Thank you, darling. Thank you. Sixty-five years, not bad, but soon it's going to be in history, I predict. My administration has taken the toughest-ever action cracking down on China's trading abuses. We have to stop it. And we have a very good relationship with President Xi. I have a very good relationship."
00:38:03 - 00:38:42 (38 sec),"But we can't allow what's happened over so many years to continue happening. They've been taking $500 billion, with a B, out of our country and rebuilding China. And I said, ""We can't do that anymore. I'm sorry. I'm sorry."" For years, China has been draining us, taking our factories and building up their country with our money, and at the expense of our workers and our companies."
00:38:42 - 00:39:07 (25 sec),"And we're not going to have it. No more. And not only China. Many countries. Look, many countries. We defend countries that are very rich. They don't pay us or they pay us a small percentage. I mean, look, we get along great with these countries, but take Saudi Arabia. Would you say they have some money?"
00:39:07 - 00:39:48 (42 sec),"So we defend them and they pay a small percentage. I said, ""Excuse me, King Salman"" -- he's my friend -- ""do you mind paying for the military?"" ""Do you mind? Hey."" They're paying for 30 percent. I said, ""Do you mind paying?"" ""But nobody has asked me."" I said, ""But I'm asking you, King."" He says, ""Great."" He said, ""But are you serious?"" I said, ""No, I'm totally serious."
00:39:48 - 00:40:16 (28 sec),"Trust me."" [Laughter] And they'll do it. He said nobody's ever asked him. You're talking about -- by the way, you're talking about billions and billions of dollars. Japan, ""No, President Obama would never have asked. That's not his kind of thing. Not his thing."" Why would somebody ask to be paid back billions of dollars?"
00:40:16 - 00:41:00 (44 sec),"Japan, very rich, very great country. I told you, Prime Minister Abe, great man. Just won a fantastic election. Big results. I have an -- an incredible relationship. I said to him, ""Listen, we're defending you."" We're doing a great job. They were sending missiles over Japan from North Korea. Because of me, those missiles aren't going over Japan anymore."
00:41:00 - 00:41:24 (24 sec),"There are no more missiles, no more testing, no more nuclear. We got our hostages back. We got the remains of our great heroes back, right? The remains. The remains are coming back. That was the most beautiful ceremony. Did anybody see that ceremony a month ago? So beautiful. And the remains are coming back."
00:41:24 - 00:41:56 (31 sec),"And what do I get? I get the fake news saying, ""Why isn't he moving faster?"" I just left -- what? -- three months ago. I had a meeting in Singapore. I mean, this has been going on for 75 years -- now let's say 25 years with the missiles and the nuclear -- but no president's done anything. It's -- it's like, three months."
00:41:56 - 00:42:31 (35 sec),"And they'll say, the all-time great, ""What's taking so long?"" I said, ""It's been three months and you don't have rockets and you don't have missiles and you don't have nuclear testing and we get all of our"" -- I mean, it's crazy. But here's what they say. So, they can't get me. One of them actually said -- a nice guy, a friend of mine."
00:42:31 - 00:43:15 (44 sec),"He actually said, ""Why is the president giving so much to North Korea?"" I said, ""I haven't given anything. What have I given?"" I haven't paid -- I didn't pay $1.8 billion for the hostages like Obama did... with Iran, remember? $1.8 billion in cash. Gave them $150 billion. So I haven't given. But I have a very good relationship with Chairman Kim. I have a very good relationship."
00:43:15 - 00:43:44 (29 sec),"So because of that relationship, let's see. I think we'll work something out. Maybe we won't. Who knows? It's a deal. Let's see. But so far -- so I'm -- when did I leave, like three months ago, three and a half months ago, maybe less? And they're saying, ""He agreed to meet,"" because they -- I didn't give -- so you know what I gave them?"
00:43:44 - 00:44:29 (45 sec),"I agreed to meet. That's what they say. I agreed to meet. Is that a big deal? I agreed to meet. I asked the Democrats before -- you know, we were close to a war with North Korea, I'll you what. And my rhetoric was very tough at the beginning. It was really, really tough. In fact, they all said I'm going to cause a war with North Korea."
00:44:29 - 00:44:49 (21 sec),"I'm going to cause a war. And then with Putin of Russia, they said, ""He was too nice."" He was -- that was a great meeting. We had a very successful -- so they want me to get into a boxing match with him. I think I'd do very well. But with Russia... [Audience Chants USA] No, no. It's the fake news. Fake news."
00:44:49 - 00:45:08 (19 sec),"They said with Russia, ""He was too nice. He was too nice."" With North Korea, they said, ""He was too tough. He was too tough."" And let me tell you, if I was really rough with Russia, they'd say, ""He was too tough. He was too tough."" These people are loco, I'm telling you. Loco. [Laughter] People are crazy."
00:45:08 - 00:45:33 (24 sec),"Fake news. The fake news, everybody. They are fake. After years of rebuilding foreign nations, we are finally rebuilding our nation, right? To give our workers and businesses a level playing field, Republicans passed the biggest package of tax cuts and tax reforms in the history of our country. Better vote for Karin."
00:45:33 - 00:45:57 (25 sec),"They want to take them away. They want to take them away. We've taken historic action to make health care more affordable and we've gotten rid of the soaring premiums. You know, the premiums on Obamacare -- nobody realized it. They were going up 116 percent, 138 percent, 200 percent. Through great management and great people, we've kept them down."
00:45:57 - 00:46:25 (27 sec),"We've mostly obliterated Obamacare, although we had it won except for 2 o'clock in the morning -- I say it again -- 2 o'clock in the morning and I was like -- I'm not going to do it. Two o'clock in the morning. But think of it differently: We didn't get one Democrat vote so we're stuck with it, but it's obliterated."
00:46:25 - 00:46:56 (31 sec),"And the big thing is, we got rid of the most unpopular part of Obamacare. It's called the individual mandate, where you have the privilege of paying a fortune so that you don't have to pay a fortune for horrible health care, right? So, the premiums in Minnesota this year are coming down by double digits."
00:46:56 - 00:47:31 (35 sec),"Think of that. And I don't even like this stuff, but while we have the remnants of Obamacare, we're working to make it much more affordable than you had. And to reduce drug prices, the FDA has approved a record number of affordable generic medicines. And that's not all. Drug prices are coming down. You might have seen last month where I called up some of the drug companies."
00:47:31 - 00:48:09 (37 sec),"I said, ""Folks, you just raised up the drug prices. You can't do that."" And they all reduced them. Do you believe it? That's when I said, ""I've a lot of power."" Pfizer, right? You saw that. Pfizer, Novartis, they raised their drug prices and I'm bringing them down. I said, ""What are you doing with raising them?"" ""I'm sorry, Mr. President, we'll reduce them immediately."" I said, ""Man, this is a powerful position."
00:48:09 - 00:48:51 (43 sec),"I never..."" First time in the history of drug companies that they've done that. They literally announced it. I called them the next day. I told them I was extremely unhappy and they said, ""We're going to reduce it."" Who the hell does that? Do you think Hillary Clinton would have done that? [Audience Responds No] I don't think so. I don't think so. [Audience Chants Lock her up] By the way, she or whoever it might have been, crazy Bernie, whoever they put in, they wouldn't have done any of the things -- we did the greatest trade deal."
00:48:51 - 00:49:15 (23 sec),"Look at the money. We did 4.2 percent GDP. They were going down. They would have had a minus four point. They -- they said 4.2 percent is impossible. It's going to go higher, much higher. We have such potential. Between military and trade deals, we have hundreds of billions of dollars worth of fat and potential."
00:49:15 - 00:49:37 (22 sec),"And what I love -- what I love, hopefully you don't need it for a long time or never, to help critically ill patients get life-saving treatments, we passed Right to Try. I love it. I hope you don't need it. I hope I don't need it, too. I hope you don't need it. But that's -- you know, we have the greatest -- frankly, the greatest drug companies in the world."
00:49:37 - 00:50:27 (50 sec),"And we would have drugs that would take four or five years -- you know, we've brought it down from 14 years to get approved down to four. I think we'll be at three or two. But still, you've got to wait a long time. And a person who is dying, a person is terminally ill and they have a great, you know, possible cure, and so a person wants to see if they could possibly -- you couldn't get it. There was no way of getting it. No way in a million years."
00:50:27 - 00:51:09 (42 sec),"I worked with Congress, including these guys and... and Greg. And Greg, right? And Jim and Mark and the whole group. But we worked with Congress and we got it done. I love the name, Right to Try. Now, they can go, they sign a paper. You have no idea: They've been trying to get this for 40 years. You know, who would think?"
00:51:09 - 00:52:12 (63 sec),"They've been trying for 40 years. And it is, you have problems with insurance companies. You have problems with trials. You have problems with so many different things. You have problems with everything. Everything is there -- and you have problems with liability. I said, ""Sign a document that there's no liability."" They don't want to give something, the person dies and then the family sues the country."
00:52:12 - 00:52:39 (27 sec),"That's no good. So you sign away your rights if you take it. And you know what happened? Everybody said, ""Wow, that's a good idea."" Can you believe this? So after 40 years, we have it. And now people are trying it. And you know what? We've had some incredible results. And it's also telling you whether or not this stuff works."
00:52:39 - 00:53:00 (21 sec),"There's something good about that, too. We've had some incredible results, right? I love it. People would fly to other continents, they'd fly to other countries. If they were poor they'd just go away. They'd had no hope. They'd go to their house or their apartment and they'd have no hope. Now, they have hope."
00:53:00 - 00:53:38 (38 sec),"It's beautiful. It's so great. We also passed Veterans Choice, giving our veterans the right to see a private doctor... see a private doctor instead of waiting in line. I mean, we had people waiting for three weeks, two weeks, 12 days, nine weeks. We had people that were not very sick. It took them so long to see the private doctor, to see a doctor, a veterans doctor -- and they're good doctors."
